instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
417289,1630,BHARATBOND-APR31,NSE INDEX BHARATBOND-APR31,0,,0,0,0,EQ,INDICES,NSE
417545,1631,BHARATBOND-APR30,NSE INDEX BHARATBOND-APR30,0,,0,0,0,EQ,INDICES,NSE
417801,1632,NIFTY500 LOWVOL50,NSE INDEX NIFTY500 LOWVOL50,0,,0,0,0,EQ,INDICES,NSE
418057,1633,NIFTY500 MQVLV50,NSE INDEX NIFTY500 MQVLV50,0,,0,0,0,EQ,INDICES,NSE
418313,1634,NIFTY500 QLTY50,NSE INDEX NIFTY500 QLTY50,0,,0,0,0,EQ,INDICES,NSE
418569,1635,NIFTY50 USD,NSE INDEX NIFTY50 USD,0,,0,0,0,EQ,INDICES,NSE
418825,1636,Nifty FPI 150,NIFTY FPI 150,0,,0,0,0,EQ,INDICES,NSE
419081,1637,NIFTY500 Flexicap,NIFTY500 FLEXICAP,0,,0,0,0,EQ,INDICES,NSE
419337,1638,Nifty TMMQ 50,NIFTY TMMQ 50,0,,0,0,0,EQ,INDICES,NSE
419593,1639,NIFTY SME EMERGE,NSE INDEX NIFTY SME EMERGE,0,,0,0,0,EQ,INDICES,NSE
419849,1640,Nifty Internet,NIFTY INTERNET,0,,0,0,0,EQ,INDICES,NSE
420105,1641,NIFTY CHEMICALS,NSE INDEX NIFTY CHEMICALS,0,,0,0,0,EQ,INDICES,NSE
420361,1642,NIFTY WAVES,NSE INDEX NIFTY WAVES,0,,0,0,0,EQ,INDICES,NSE
420617,1643,NIFTY INFRALOG,NSE INDEX NIFTY INFRALOG,0,,0,0,0,EQ,INDICES,NSE
420873,1644,Nifty500 Health,NIFTY500 HEALTH,0,,0,0,0,EQ,INDICES,NSE
421129,1645,Nifty Railways PSU,NIFTY RAILWAYS PSU,0,,0,0,0,EQ,INDICES,NSE
421385,1646,NiftyConglomerate,NIFTYCONGLOMERATE,0,,0,0,0,EQ,INDICES,NSE
